time,character,unit_guid,slot,spell_id,name,event,helpful,cancelable,stacks,duration_ms,remaining_ms,display,source
0.635,"Test",0x0000000000000001,0,2457,"Battle Stance",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.636,"Test",0x0000000000000001,1,16380,"Greater Invisibility",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.640,"Test",0x00000000000000D0,0,2457,"Battle Stance",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.640,"Test",0x00000000000000D0,2,5242,"Battle Shout",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.640,"Test",0x00000000000001A8,0,588,"Inner Fire",APPLY,True,True,20,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.640,"Test",0x0000000000000015,0,10290,"Devotion Aura",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.640,"Test",0x0000000000000065,0,2457,"Battle Stance",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.640,"Test",0x0000000000000065,2,5242,"Battle Shout",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.640,"Test",0x0000000000000123,0,1459,"Arcane Intellect",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.640,"Test",0x0000000000000123,1,7300,"Frost Armor",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.656,"Test",0x00000000000000D0,2,5242,"Battle Shout",REMOVE,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
1.444,"Test",0x00000000000000D0,1,29131,"Bloodrage",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
2.576,"Test",0x00000000000000D0,2,5242,"Battle Shout",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.649,"Test",0x000000000000002A,0,1784,"Stealth",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.756,"Test",0xF13000195B015407,0,10848,"Shroud of Death",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.756,"Test",0xF13000195B015407,32,9036,"Ghost",APPLY,False,False,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.967,"Test",0x00000000000000D0,0,2457,"Battle Stance",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.967,"Test",0x00000000000000D0,1,29131,"Bloodrage",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.967,"Test",0x00000000000000D0,2,5242,"Battle Shout",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.967,"Test",0x000000000000002A,0,1784,"Stealth",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.967,"Test",0x00000000000001A8,0,588,"Inner Fire",APPLY,True,True,20,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.967,"Test",0x0000000000000015,0,10290,"Devotion Aura",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.967,"Test",0x0000000000000065,0,2457,"Battle Stance",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.967,"Test",0x0000000000000065,2,5242,"Battle Shout",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
7.478,"Test",0x0000000000000123,0,1459,"Arcane Intellect",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
7.478,"Test",0x0000000000000123,1,7300,"Frost Armor",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
11.430,"Test",0x00000000000000D0,1,29131,"Bloodrage",REMOVE,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
12.067,"Test",0x00000000000000D0,1,1131,"Food",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
