time,character,unit_guid,slot,spell_id,name,event,helpful,cancelable,stacks,duration_ms,remaining_ms,display,source
0.581,"Test",0x0000000000000001,0,2457,"Battle Stance",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.582,"Test",0x0000000000000001,1,16380,"Greater Invisibility",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.585,"Test",0x00000000000000C4,0,588,"Inner Fire",APPLY,True,True,20,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.586,"Test",0x000000000000002A,0,1784,"Stealth",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.586,"Test",0x00000000000001A8,0,588,"Inner Fire",APPLY,True,True,20,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.586,"Test",0x00000000000000D0,0,2457,"Battle Stance",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
0.586,"Test",0x00000000000000D0,2,5242,"Battle Shout",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
2.284,"Test",0x0000000000000015,0,10290,"Devotion Aura",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.025,"Test",0xF13000195B015407,0,10848,"Shroud of Death",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.025,"Test",0xF13000195B015407,32,9036,"Ghost",APPLY,False,False,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.025,"Test",0x0000000000000060,0,1460,"Arcane Intellect",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.025,"Test",0x0000000000000060,1,7300,"Frost Armor",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.200,"Test",0x00000000000000C4,0,588,"Inner Fire",APPLY,True,True,20,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.200,"Test",0x000000000000002A,0,1784,"Stealth",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.200,"Test",0x00000000000000D0,0,2457,"Battle Stance",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.200,"Test",0x00000000000000D0,2,5242,"Battle Shout",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.200,"Test",0x0000000000000015,0,10290,"Devotion Aura",APPLY,True,True,1,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
3.200,"Test",0x00000000000001A8,0,588,"Inner Fire",APPLY,True,True,20,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
6.887,"Test",0x0000000000000159,0,588,"Inner Fire",APPLY,True,True,20,0,0,ICON_VISIBLE,SMSG_UPDATE_OBJECT
