entry	name	class	subclass	quality	displayId	inventoryType	reqLevel	itemLevel
17	Martin Fury	4	4	6	7016	4	0	5
25	Worn Shortsword	2	7	1	1542	21	1	2
35	Bent Staff	2	10	1	472	17	1	2
36	Worn Mace	2	4	1	5194	21	1	2
37	Worn Axe	2	0	1	14029	21	1	2
38	Recruit's Shirt	4	0	1	9891	4	0	1
39	Recruit's Pants	4	1	0	9892	7	1	1
40	Recruit's Boots	4	0	1	10141	8	0	1
41	OLDRecruit's Belt	4	0	1	4553	6	1	1
42	OLDSquire's Belt	4	0	1	4562	6	1	1
43	Squire's Boots	4	0	1	10272	8	0	1
44	Squire's Pants	4	1	0	9937	7	1	1
45	Squire's Shirt	4	0	1	3265	4	0	1
46	OLDFootpad's Belt	4	0	1	4528	6	1	1
47	Footpad's Shoes	4	0	1	9915	8	0	1
48	Footpad's Pants	4	1	0	9913	7	1	1
49	Footpad's Shirt	4	0	1	9906	4	0	1
50	OLDInitiate's Belt	4	0	1	4535	6	1	1
51	Neophyte's Boots	4	0	1	9946	8	0	1
52	Neophyte's Pants	4	1	0	9945	7	1	1
53	Neophyte's Shirt	4	0	1	9944	4	0	1
54	OLDNovice's Belt	4	0	1	4541	6	1	1
55	Apprentice's Boots	4	0	1	9929	8	0	1
56	Apprentice's Robe	4	1	0	12647	20	1	1
57	Acolyte's Robe	4	1	0	12645	20	1	1
58	OLDAcolyte's Belt	4	0	1	4499	6	1	1
59	Acolyte's Shoes	4	0	1	3261	8	0	1
60	Layered Tunic	4	2	1	16891	5	0	5
61	Dwarven Leather Pants	4	2	1	16953	7	0	5
77	Deprecated Outfitter Cloth Armor	4	1	1	2645	5	0	4
79	Dwarven Cloth Britches	4	1	1	16847	7	0	5
80	Soft Fur-lined Shoes	4	1	1	16854	8	0	5
85	Dirty Leather Vest	4	2	1	16883	5	1	5
86	Deprecated Old Belt	4	0	1	4525	6	0	1
87	Deprecated Old Boots	4	0	1	261	8	0	1
88	Deprecated Old Pants	4	1	0	374	7	1	1
89	OLDThick Trapper's Shirt	4	0	1	7848	4	0	1
90	OLDDwarven Initiate's Belt	4	0	1	4519	6	1	1
91	OLDDwarven Initiate's Pants	4	1	0	368	7	1	1
92	OLDDwarven Initiate's Boots	4	0	1	249	8	1	1
93	OLDDwarven Initiate's Shirt	4	0	1	369	4	0	1
94	Deprecated Dwarven Novice's Belt	4	0	1	4522	6	1	1
95	Deprecated Dwarven Novice's Boots	4	0	1	242	8	1	1
97	Deprecated Dwarven Novice's Robe	4	1	0	12662	20	1	1
98	Deprecated Dwarven Squire's Belt	4	0	1	4524	6	1	1
99	Deprecated Dwarven Squire's Boots	4	0	1	257	8	1	1
100	Deprecated Dwarven Squire's Pants	4	1	0	372	7	1	1
101	Deprecated Dwarven Squire's Shirt	4	0	1	373	4	0	1
102	Deprecated Dwarven Recruit's Belt	4	0	1	4523	6	1	1
103	Deprecated Dwarven Recruit's Boots	4	0	1	5901	8	1	1
104	Deprecated Sturdy Brown Pants	4	1	0	370	7	1	1
105	Deprecated Dwarven Recruit's Shirt	4	0	1	371	4	0	1
113	Deprecated Dwarven Apprentice Pants	4	1	0	365	7	1	1
114	Deprecated Dwarven Apprentice Boots	4	0	1	245	8	1	1
115	Deprecated Dwarven Apprentice Belt	4	0	1	4517	6	1	1
117	Tough Jerky	0	0	1	2473	0	1	5
118	Minor Healing Potion	0	0	1	15710	0	1	5
119	Deprecated Rogue's Vest	4	0	1	5702	4	0	1
120	Thug Pants	4	1	0	10006	7	1	1
121	Thug Boots	4	0	1	10008	8	0	1
122	OLDThug Belt	4	0	1	4538	6	1	1
123	Deprecated Orc Apprentice Shirt	4	0	1	383	4	0	1
124	Deprecated Orc Apprentice Pants	4	1	0	3268	7	1	1
125	Deprecated Orc Apprentice Boots	4	0	1	3269	8	1	1
126	Deprecated Orc Apprentice Belt	4	0	1	4543	6	1	1
127	Trapper's Shirt	4	0	1	9996	4	0	1
128	Deprecated Tauren Trapper's Pants	4	1	0	396	7	1	1
129	Rugged Trapper's Boots	4	0	1	9977	8	0	1
130	Deprecated Tauren Trapper's Belt	4	0	1	4572	6	1	1
131	Deprecated Orc Acolyte's Belt	4	0	1	4542	6	1	1
132	Deprecated Orc Acolyte's Boots	4	0	1	295	8	1	1
133	Deprecated Orc Acolyte's Shirt	4	0	1	7912	4	0	1
134	Deprecated Stiff Leather Shirt	4	0	1	387	4	0	1
135	Deprecated Stiff Leather Pants	4	1	0	386	7	1	1
136	Deprecated Old Leather Boots	4	0	1	311	8	0	1
137	OLDNeophyte's Belt	4	0	1	4540	6	1	1
138	Deprecated War Harness	4	0	1	9346	4	0	1
139	Brawler's Pants	4	1	0	9988	7	1	1
140	Brawler's Boots	4	0	1	9992	8	0	1
141	OLDBrawler's Belt	4	0	1	4507	6	1	1
143	Monster - Shield, Stormwind Guard	4	6	0	2080	14	1	1
146	OLDRugged Trapper's Belt	4	0	1	4544	6	1	1
147	Rugged Trapper's Pants	4	1	0	9975	7	1	1
148	Rugged Trapper's Shirt	4	0	1	9976	4	0	1
149	Deprecated Tauren Apprentice Belt	4	0	1	4569	6	0	1
150	Deprecated Tauren Apprentice Pants	4	1	0	392	7	1	1
151	Deprecated Tauren Apprentice Shirt	4	0	1	393	4	0	1
152	OLDPrimitive Leather Belt	4	0	1	4570	6	1	1
153	Primitive Kilt	4	2	0	10050	7	1	1
154	Primitive Mantle	4	0	1	10058	4	0	1
155	Deprecated Tauren Recruit's Belt	4	0	1	4571	6	1	1
156	Deprecated Tauren Recruit's Pants	4	1	0	394	7	1	1
157	Deprecated Tauren Recruit's Shirt	4	0	1	395	4	0	1
159	Refreshing Spring Water	0	0	1	18084	0	1	5
182	Garrick's Head	12	0	1	7038	0	0	1
184	Deprecated Small Brown Pouch	1	0	1	362	18	0	5
192	Martin Thunder	2	14	1	5279	21	0	75
193	Tattered Cloth Vest	4	1	1	16579	5	1	5
194	Tattered Cloth Pants	4	1	1	16580	7	1	5
195	Tattered Cloth Boots	4	1	1	16582	8	1	5
200	Thick Cloth Vest	4	1	1	16777	5	17	22
201	Thick Cloth Pants	4	1	1	16778	7	17	22
202	Thick Cloth Shoes	4	1	1	16780	8	17	22
203	Thick Cloth Gloves	4	1	1	16779	10	17	22
209	Dirty Leather Pants	4	2	1	17140	7	1	5
210	Dirty Leather Boots	4	2	1	14444	8	1	5
236	Cured Leather Armor	4	2	1	14278	5	17	22
237	Cured Leather Pants	4	2	1	14476	7	17	22
238	Cured Leather Boots	4	2	1	14474	8	17	22
239	Cured Leather Gloves	4	2	1	14475	10	17	22
285	Scalemail Vest	4	3	1	16101	5	17	22
286	Scalemail Pants	4	3	1	10400	7	17	22
287	Scalemail Boots	4	3	1	12745	8	17	22
414	Dalaran Sharp	0	0	1	21904	0	5	15
422	Dwarven Mild	0	0	1	6352	0	15	25
527	Deprecated Gnoll War Beads	12	0	1	7090	0	0	1
537	Dull Frenzy Scale	15	0	0	6629	0	0	1
555	Rough Vulture Feathers	15	0	0	11206	0	0	10
556	Buzzard Beak	15	0	0	6625	0	0	1
647	Destiny	2	8	4	20190	17	52	57
710	Bracers of the People's Militia	4	1	1	16936	9	0	14
711	Tattered Cloth Gloves	4	1	1	16581	10	1	5
714	Dirty Leather Gloves	4	2	1	14445	10	1	5
718	Scalemail Gloves	4	3	1	6986	10	17	22
719	Rabbit Handler Gloves	4	1	1	16970	10	0	5
720	Brawler Gloves	4	2	3	2368	10	23	28
723	Goretusk Liver	7	0	1	7369	0	0	12
724	Goretusk Liver Pie	0	0	1	6385	0	5	15
725	Gnoll Paw	12	0	1	6671	0	0	1
727	Notched Shortsword	2	7	2	26577	13	5	10
728	Recipe: Westfall Stew	9	5	1	1102	0	0	15
729	Stringy Vulture Meat	7	0	1	7407	0	0	10
730	Murloc Eye	7	0	1	7394	0	0	11
731	Goretusk Snout	7	0	1	8802	0	0	12
732	Okra	7	0	1	7395	0	0	9
733	Westfall Stew	0	0	1	6428	0	5	15
734	Deprecated Malakai's Medallion	12	0	1	7093	0	0	1
735	Rolf and Malakai's Medallions	12	0	1	7093	0	0	1
737	Holy Spring Water	12	0	1	926	0	0	1
738	Sack of Barley	12	0	1	1297	0	0	1
739	Sack of Corn	12	0	1	11994	0	0	1
740	Sack of Rye	12	0	1	11998	0	0	1
741	Deprecated Copper Ingot	7	0	1	7391	0	0	1
742	A Sycamore Branch	12	0	1	928	0	0	1
743	Bundle of Charred Oak	12	0	1	929	0	0	1
744	Thunderbrew's Boot Flask	4	0	2	18059	12	0	44
745	Marshal McBride's Documents	12	0	1	1102	0	0	1
746	Lord Brandon's Tabard (Test)	4	0	1	3865	19	1	1
748	Stormwind Armor Marker	12	0	1	1102	0	0	1
750	Tough Wolf Meat	12	0	1	1116	0	0	1
751	Deprecated Wolf Femur	2	4	0	1515	21	1	3
752	Red Burlap Bandana	12	0	1	1272	0	0	1
753	Dragonmaw Shortsword	2	7	2	20094	13	23	28
754	Shortsword of Vengeance	2	7	3	20218	13	42	47
755	Melted Candle	15	0	0	6677	0	0	1
756	Tunnel Pick	2	1	2	6264	17	24	29
761	Deprecated Elwynn Trout	0	0	1	1208	0	1	10
763	Ice-covered Bracers	4	2	1	17007	9	7	12
765	Silverleaf	7	0	1	18088	0	0	5
766	Flanged Mace	2	4	1	19621	21	2	7
767	Long Bo Staff	2	10	1	20443	17	3	8
768	Lumberjack Axe	2	0	1	5012	21	4	9
769	Chunk of Boar Meat	7	0	1	6348	0	0	5
770	Pointy Crocolisk Tooth	15	0	0	6630	0	0	1
771	Chipped Boar Tusk	15	0	0	1225	0	0	1
772	Large Candle	12	0	1	7066	0	0	1
773	Gold Dust	12	0	1	7137	0	0	1
774	Malachite	7	0	2	7353	0	0	7
776	Vendetta	2	15	3	6452	13	26	31
777	Prowler Teeth	15	0	0	959	0	0	1
778	Kobold Excavation Pick	2	0	1	6259	21	2	7
779	Shiny Seashell	15	0	0	7714	0	0	1
780	Torn Murloc Fin	12	0	1	6628	0	0	1
781	Stone Gnoll Hammer	2	4	1	19644	21	4	9
782	Painted Gnoll Armband	12	0	1	1329	0	0	1
783	Light Hide	7	0	1	6687	0	0	10
784	Deprecated Tiny Flame Sac	7	0	1	1438	0	0	5
785	Mageroyal	7	0	1	7341	0	0	10
786	Deprecated Pure Copper Ingot	7	0	1	7391	0	0	7
787	Slitherskin Mackerel	0	0	1	24697	0	1	5
788	Test Fire Sword	2	7	1	5750	21	0	1
789	Stout Battlehammer	2	4	2	19699	21	17	22
790	Forester's Axe	2	0	2	19401	21	18	23
791	Gnarled Ash Staff	2	10	3	20334	17	26	31
792	Knitted Sandals	4	1	1	16855	8	5	10
793	Knitted Gloves	4	1	1	14449	10	5	10
794	Knitted Pants	4	1	1	14450	7	5	10
795	Knitted Tunic	4	1	1	14154	5	5	10
796	Rough Leather Boots	4	2	1	22973	8	5	10
797	Rough Leather Gloves	4	2	1	17068	10	5	10
798	Rough Leather Pants	4	2	1	22972	7	5	10
799	Rough Leather Vest	4	2	1	2106	5	5	10
804	Large Blue Sack	1	0	1	2588	18	0	25
805	Small Red Pouch	1	0	1	2586	18	0	5
806	Deprecated Brown Leather Satchel	1	0	1	2585	18	0	15
807	Deprecated Iron Ingot	7	0	1	7356	0	0	10
808	Deprecated Malachite	7	0	1	7353	0	0	10
809	Bloodrazor	2	7	4	20033	21	45	50
810	Hammer of the Northern Wind	2	4	4	19726	21	49	54
811	Axe of the Deep Woods	2	0	4	19137	21	52	57
812	Glowing Brightwood Staff	2	10	4	20257	17	49	54
813	Broken Cog	15	0	0	6618	0	0	1
814	Flask of Oil	7	0	1	18084	0	0	1
816	Small Hand Blade	2	15	2	6472	13	6	11
818	Tigerseye	7	0	2	7413	0	0	15
