[combat] time=0.197 event=GmChatWire cause=server-receive target=0x0000000000000000 detail=opcode=0x0096;bytes=86;hex=0A0000000000000000000000004400000057656C636F6D6520746F20576F726C64206F66205761726372616674210A506174636820312E31323A204472756D73206F6620576172206973206E6F77206C697665210000
[combat] time=0.198 event=GmChatWire cause=server-receive target=0x0000000000000000 detail=opcode=0x01CB;bytes=14;hex=474D206D6F6465206973204F4E00
[combat] time=0.198 event=GmChatWire cause=server-receive target=0x0000000000000000 detail=opcode=0x01CB;bytes=31;hex=596F7520617265206E6F7720696E76697369626C65202872616E6B20362900
[combat] time=0.208 event=GmChatResponse cause=server-chat target=0x0000000000000000 detail=Welcome_to_World_of_Warcraft!Patch_1.12:_Drums_of_War_is_now_live!
[action] time=0.383 slot=0 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.384 slot=1 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.384 slot=2 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.384 slot=3 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.384 slot=4 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.384 slot=5 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.384 slot=6 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.384 slot=7 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.384 slot=8 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.384 slot=9 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.384 slot=10 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[action] time=0.384 slot=11 spell=0 usable=Unusable range=NoCheck pushed=False hover=False checked=False flashing=False grid=False equipped=False cost=0 power=0 baseMana=0 rangeIndex=0 min=0.00 max=0.00 dist=-1.00 stack=0
[combat] time=0.453 event=GmChatResponse cause=server-chat target=0x0000000000000000 detail=GM_mode_is_ON
[combat] time=0.453 event=GmChatResponse cause=server-chat target=0x0000000000000000 detail=You_are_now_invisible_(rank_6)
[portrait] time=9.889 subject=Player outcome=Ready camera=Authored authoredRetried=False subjectPx=42354 rgb=0..255 alpha=180..255 pieces=11 displayId=0 bindPoseHeight=2.0352 eyeHeight=0.0000 distance=0.0000 fovyDeg=27.0000 near=0.2222
[combat] time=10.437 event=GmChatWire cause=client-send target=0x0000000000000000 detail=opcode=0x0095;bytes=44;hex=00000000070000002E676F2078797A202D383934392E3935202D3133322E3439332038332E35333132203000
[combat] time=10.437 event=GmCommand cause=live-bootstrap target=0x0000000000000000 detail=sent=True;text=.go_xyz_-8949.95_-132.493_83.5312_0
[combat] time=10.580 event=TeleportWire cause=server-receive target=0x0000000000000000 detail=opcode=0x00C7;bytes=34;hex=010100000000000000002D783901CDD70BC6357E04C3F90FA74276BE2F4013000000
[combat] time=10.582 event=TeleportApplied cause=server-authoritative target=0x0000000000000001 detail=counter=0;position=-8949.95|-132.493|83.5312;orientation=2.7459998;movementTime=20543533;flags=0x00000000
[combat] time=10.583 event=TeleportWire cause=client-send target=0x0000000000000000 detail=opcode=0x00C7;bytes=16;hex=01000000000000000000000057290000
[combat] time=10.612 event=GmChatWire cause=client-send target=0x0000000000000000 detail=opcode=0x0095;bytes=16;hex=00000000070000002E676D206F666600
[combat] time=10.612 event=GmCommand cause=protocol-runner target=0x0000000000000000 detail=sent=True;text=.gm_off
[anim] time=10.851 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.868 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.868 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.884 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.884 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.900 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.900 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.902 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.902 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.933 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.933 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.950 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.950 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.952 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.952 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.984 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.984 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=10.986 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=10.986 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.016 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.017 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.033 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.033 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.050 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.050 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.067 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.067 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.083 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.083 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.100 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.100 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.102 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.102 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.117 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.117 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[combat] time=11.133 event=GmChatWire cause=client-send target=0x0000000000000000 detail=opcode=0x0095;bytes=12;hex=00000000070000002E676D00
[combat] time=11.133 event=GmCommand cause=protocol-runner target=0x0000000000000000 detail=sent=True;text=.gm
[anim] time=11.134 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.134 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.166 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.166 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.183 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.183 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[combat] time=11.195 event=GmChatWire cause=server-receive target=0x0000000000000000 detail=opcode=0x01CB;bytes=15;hex=474D206D6F6465206973204F464600
[anim] time=11.200 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.200 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[combat] time=11.201 event=GmChatResponse cause=server-chat target=0x0000000000000000 detail=GM_mode_is_OFF
[anim] time=11.217 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.217 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.233 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.233 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.250 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.250 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.267 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.267 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.269 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.269 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.284 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.284 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.301 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.301 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.318 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.318 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.350 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.350 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.367 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.367 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.383 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.383 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.400 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.400 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.417 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.417 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.433 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.433 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.450 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.450 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.452 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.452 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.484 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.484 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.500 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.500 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.502 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.502 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.517 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.517 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.550 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.550 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.567 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.567 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.583 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.584 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.585 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.585 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.617 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.617 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.634 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.634 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[combat] time=11.650 event=GmChatWire cause=client-send target=0x0000000000000000 detail=opcode=0x0095;bytes=25;hex=00000000070000002E6E706320737061776E20616464203600
[combat] time=11.650 event=GmCommand cause=protocol-runner target=0x0000000000000000 detail=sent=True;text=.npc_spawn_add_6
[anim] time=11.653 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.653 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.667 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=11.667 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.667 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.683 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=11.684 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=11.684 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.684 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.700 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=11.700 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=11.700 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.700 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.702 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=11.702 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=11.702 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.702 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.734 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=11.734 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=11.734 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.734 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.735 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=11.735 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=11.735 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.735 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[combat] time=11.767 event=SpawnObserved cause=post-command-entity-delta target=0xF13000000604A285 detail=entry=6;distance=0;within3=true;position=-8949.95|-132.493|83.529526
[anim] time=11.771 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=11.771 unit=creature:328 track=0 requested=0 played=0 kind=Exact
[anim] time=11.771 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.771 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.788 unit=creature:328 track=0 requested=4 played=4 kind=Exact
[anim] time=11.788 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.788 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[portrait] time=11.792 subject=Target outcome=NotDrawn camera=Authored authoredRetried=False subjectPx=0 rgb=10..14 alpha=255..255 pieces=-1 displayId=10913 bindPoseHeight=1.1373 eyeHeight=0.0000 distance=0.0000 fovyDeg=39.2823 near=0.1556
[anim] time=11.872 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.872 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[combat] time=11.884 event=TraceStart cause=operator target=0x0000000000000000 detail=server-authoritative_swing_timing;_client_range/arc_gates_absent
[anim] time=11.886 unit=creature:10913 track=0 requested=0 played=0 kind=BakedOnDemand
[anim] time=11.887 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.887 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[combat] time=11.900 event=AttackPrecondition cause=live-send-path target=0xF13000000604A285 detail=player=0x0000000000000001;position=-8949.95|-132.493|83.529526;gmMode=false;gmSource=server-response;present=true;visible=true;alive=True;health=100;maxHealth=100;unitFlags=0x00000000;dynamicFlags=0x00000000;faction=25;entry=6;distance=0;targetPosition=-8949.95|-132.493|83.529526
[combat] time=11.900 event=AttackSwingSend cause=network-session-send target=0xF13000000604A285 detail=CMSG_ATTACKSWING
[combat] time=11.900 event=IntentOn cause=user-start target=0xF13000000604A285 detail=local_attack_latch_edge
[anim] time=11.901 unit=creature:10913 track=0 requested=0 played=0 kind=Exact
[anim] time=11.901 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.901 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.917 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.917 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.934 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.934 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.936 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.936 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.967 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.967 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=11.984 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=11.984 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=12.033 unit=creature:447 track=0 requested=4 played=4 kind=Exact
[anim] time=12.033 unit=creature:447 track=0 requested=0 played=0 kind=Exact
[anim] time=12.035 unit=creature:447 track=0 requested=4 played=4 kind=Exact
